Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
586;88147;"Indian Journal of Labour Economics";journal;"00195308";0,125;Q4;12;38;93;1141;14;90;0,11;30,03;Switzerland;Western Europe;"Springer International Publishing AG";"1996, 1998-2013, 2015-2020";"Economics and Econometrics (Q4)"
587;28956;"Jahrbuch fur Wirtschaftsgeschichte";journal;"00752800";0,125;Q4;8;20;63;717;7;63;0,13;35,85;Germany;Western Europe;"Walter de Gruyter GmbH";"1960-1996, 1999-2020";"History (Q2); Economics and Econometrics (Q4)"
588;21100837464;"Central European Journal of Economic Modelling and Econometrics";journal;"2080119X, 20800886";0,123;Q4;3;12;32;358;9;24;0,38;29,83;Poland;Eastern Europe;"Polish Academy of Sciencies - Lodz Branch";"2017-2019";"Applied Mathematics (Q4); Economics and Econometrics (Q4); Statistics and Probability (Q4)"
589;21100872764;"International Journal of Sustainable Agricultural Management and Informatics";journal;"20545827, 20545819";0,123;Q4;4;21;57;666;13;53;0,21;31,71;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2015-2019";"Agricultural and Biological Sciences (miscellaneous) (Q4); Business, Management and Accounting (miscellaneous) (Q4); Economics and Econometrics (Q4)"
590;21100287304;"Manchester Journal of International Economic Law";journal;"17423945";0,123;Q4;4;27;65;113;6;56;0,18;4,19;United Kingdom;Western Europe;"Electronicpublications.org Ltd";"2013-2019";"Economics and Econometrics (Q4); Law (Q4)"
591;21100860542;"South Asian Journal of Macroeconomics and Public Finance";journal;"22779787, 23210273";0,123;Q4;3;8;34;292;11;31;0,43;36,50;United Kingdom;Western Europe;"SAGE Publications Ltd";"2012-2020";"Economics and Econometrics (Q4); Finance (Q4)"
592;15015;"Agricultural History Review";journal;"00021490";0,120;Q4;18;5;41;596;7;41;0,14;119,20;United Kingdom;Western Europe;"British Agricultural History Society";"1978-2019";"Agronomy and Crop Science (Q4); Animal Science and Zoology (Q4); Economics and Econometrics (Q4); History and Philosophy of Science (Q4)"
593;5600156022;"Asia-Pacific Review";journal;"13439006";0,120;Q4;15;18;45;60;12;45;0,23;3,33;United States;Northern America;"Routledge";"1994-2002, 2004-2019";"History (Q3); Economics and Econometrics (Q4); Political Science and International Relations (Q4)"
594;21100868867;"African Journal of Agricultural and Resource Economics";journal;"19933738";0,119;Q4;1;21;25;696;5;25;0,20;33,14;Kenya;Africa;"African Association of Agricultural Economists";"2018-2019";"Agricultural and Biological Sciences (miscellaneous) (Q4); Economics and Econometrics (Q4)"
595;19700200704;"International Journal of Business and Management Science";journal;"18376614, 1985692X";0,119;Q4;9;20;53;876;30;53;0,56;43,80;Australia;Pacific Region;"Society for Alliance, Fidelity and Advancement";"2008-2012, 2016-2019";"Business and International Management (Q4); Economics and Econometrics (Q4)"
596;21100891790;"African Journal of Business and Economic Research";journal;"17504554, 17504562";0,118;Q4;2;35;31;1273;9;28;0,32;36,37;United Kingdom;Western Europe;"Adonis &amp; Abbey Publishers Ltd.";"2018-2019";"Business and International Management (Q4); Economics and Econometrics (Q4)"
597;21100894527;"Brazilian Business Review";journal;"18082386";0,115;Q4;2;32;40;1618;11;36;0,31;50,56;Brazil;Latin America;"FUCAPE Business School";"2018-2019";"Accounting (Q4); Business and International Management (Q4); Economics and Econometrics (Q4); Management of Technology and Innovation (Q4); Strategy and Management (Q4)"
598;21100198553;"International Journal of Banking, Accounting and Finance";journal;"17553830, 17553849";0,115;Q4;9;10;28;351;7;28;0,26;35,10;Switzerland;Western Europe;"Inderscience Publishers";"2008-2020";"Accounting (Q4); Economics and Econometrics (Q4); Finance (Q4)"
599;21100389315;"Risk Governance and Control: Financial Markets and Institutions (discontinued)";journal;"2077429X, 20774303";0,115;Q4;4;0;109;0;31;108;0,00;0,00;Ukraine;Eastern Europe;"Virtus Interpress";"2011-2016";"Economics and Econometrics (Q4); Finance (Q4); Strategy and Management (Q4)"
600;21100902638;"Contemporary Management Research";journal;"18135498";0,112;Q4;1;6;12;337;1;12;0,08;56,17;Taiwan;Asiatic Region;"Academy of Taiwan Information Systems Research";"2018-2020";"Economics and Econometrics (Q4); Management Information Systems (Q4); Management, Monitoring, Policy and Law (Q4); Management of Technology and Innovation (Q4); Marketing (Q4); Strategy and Management (Q4)"
601;21100840135;"Economic Thought";journal;"20493509, 20556314";0,112;Q4;2;5;20;164;2;19;0,11;32,80;United Kingdom;Western Europe;"World Economics Association";"2017-2019";"Economics and Econometrics (Q4); Economics, Econometrics and Finance (miscellaneous) (Q4)"
602;19700169886;"Journal of Philosophical Economics: Reflections on Economic and Social Issues";journal;"18432298, 18448208";0,112;Q4;2;5;15;256;2;15;0,13;51,20;Romania;Eastern Europe;"Rosetti International Publishing House";"2017-2019";"Philosophy (Q3); Economics and Econometrics (Q4); Sociology and Political Science (Q4)"
603;21100201043;"Banking and Finance Review";journal;"19477945, 19476140";0,111;Q4;5;8;31;350;3;31;0,15;43,75;United States;Northern America;"School of Business Central Connecticut State University";"2009-2019";"Economics and Econometrics (Q4); Finance (Q4)"
604;19900194804;"Journal of the Statistical and Social Inquiry Society of Ireland";journal;"00814776";0,111;Q4;5;0;16;0;2;16;0,13;0,00;Ireland;Western Europe;"Statistical and Social Inquiry Society of Ireland";"2009-2011, 2014-2015, 2017-2018";"Economics and Econometrics (Q4); Sociology and Political Science (Q4); Statistics, Probability and Uncertainty (Q4)"
605;21100842860;"Revista Finanzas y Politica Economica";journal;"22486046, 20117663";0,111;Q4;2;10;54;341;6;49;0,15;34,10;Colombia;Latin America;"Catholic University of Colombia";"2015-2019";"Economics and Econometrics (Q4); Finance (Q4)"
606;4000151820;"International Journal of Technology and Globalisation";journal;"14765667, 17418194";0,108;Q4;19;0;3;0;0;3;0,00;0,00;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2006-2008, 2010-2015, 2017";"Economics and Econometrics (Q4); Management, Monitoring, Policy and Law (Q4); Political Science and International Relations (Q4)"
607;21100836106;"Journal of Islamic Economics, Banking and Finance";journal;"20704658, 20704666";0,108;Q4;2;0;53;0;8;49;0,16;0,00;Bangladesh;Asiatic Region;"Islamic Bank Training and Research Academy";"2017-2018";"Development (Q4); Economics and Econometrics (Q4); Finance (Q4)"
608;14000155239;"Capitalism and Society";journal;"21946140, 19320213";0,107;Q4;11;0;18;0;5;9;1,00;0,00;United States;Northern America;"Walter de Gruyter GmbH";"2009-2012, 2014-2017";"History (Q3); Economics and Econometrics (Q4); Sociology and Political Science (Q4)"
609;16084;"Journal of Commercial Biotechnology";journal;"1478565X, 14628732";0,107;Q4;16;0;92;0;15;91;0,11;0,00;United Kingdom;Western Europe;"ThinkBiotech";"2003-2018";"Biotechnology (Q4); Economics and Econometrics (Q4); Management of Technology and Innovation (Q4)"
610;25969;"Social and Economic Studies";journal;"00377651";0,107;Q4;6;0;69;0;7;61;0,14;0,00;Jamaica;Latin America;"University of the West Indies";"1974, 1977-1986, 2008-2018";"Economics and Econometrics (Q4); Social Sciences (miscellaneous) (Q4)"
611;11700154396;"Journal of Private Equity";journal;"10965572";0,105;Q4;11;0;119;0;14;107;0,09;0,00;United States;Northern America;"Portfolio Management Research";"2007-2018";"Economics and Econometrics (Q4); Finance (Q4)"
612;21100199556;"Recta";journal;"1575605X";0,105;Q4;3;0;30;0;1;30;0,00;0,00;Spain;Western Europe;"Asociacion Espanola de Profesores Universitarios de Matematicas aplicadas a la Economia y la Empresa";"2011-2018";"Applied Mathematics (Q4); Economics and Econometrics (Q4)"
613;18400156703;"Actuel Marx";journal;"09944524";0,104;Q4;5;26;81;567;7;73;0,11;21,81;France;Western Europe;"Presses Universitaires de France";"2008-2019";"Economics and Econometrics (Q4); Philosophy (Q4); Sociology and Political Science (Q4)"
614;26747;"Desarrollo Economico: Revista de Ciencias Sociales";journal;"0046001X";0,104;Q4;17;0;6;0;3;6;0,00;0,00;Argentina;Latin America;"Instituto de Desarrollo Economica y Social";"1979, 1983, 1992-2011, 2016";"Economics and Econometrics (Q4)"
615;14394;"Etudes Rurales";journal;"00142182";0,104;Q4;10;19;72;645;4;71;0,05;33,95;France;Western Europe;"Editions EHESS: Ecole des Hautes Etudes en Sciences Sociales";"1973, 1978-1984, 1989-1990, 1992-1996, 1999-2019";"History (Q3); Agricultural and Biological Sciences (miscellaneous) (Q4); Economics and Econometrics (Q4); Geography, Planning and Development (Q4)"
616;21100878679;"Graziadio Business Review";journal;"21592977";0,104;Q4;0;15;9;204;0;7;0,00;13,60;United States;Northern America;"Graziadio School of Business and Management-Pepperdine University";"2018-2019";"Business and International Management (Q4); Economics and Econometrics (Q4)"
617;27015;"Journal of Energy and Development";journal;"03614476";0,104;Q4;5;6;32;0;3;30;0,13;0,00;United States;Northern America;"International Research Center for Energy and Economic Development";"1979-1986, 1988, 2011-2014, 2016-2019";"Economics and Econometrics (Q4); Energy (miscellaneous) (Q4)"
618;21100219313;"Asian Journal of WTO and International Health Law and Policy";journal;"18195164";0,103;Q4;7;0;40;0;5;38;0,07;0,00;Taiwan;Asiatic Region;"National Taiwan University Press : Asian Center for WTO &amp; International Health Law and Policy";"2009-2012, 2016-2018";"Economics and Econometrics (Q4); Health (social science) (Q4); Law (Q4); Political Science and International Relations (Q4); Public Health, Environmental and Occupational Health (Q4)"
619;21100449002;"Cahiers d'Economie Politique";journal;"19696779";0,103;Q4;1;0;73;0;5;69;0,08;0,00;France;Western Europe;"Editions l'Harmattan";"2016-2018";"History (Q3); Economics and Econometrics (Q4)"
620;4700153001;"Journal of the Austrian Society of Agricultural Economics";journal;"18158129, 18151027";0,103;Q4;6;0;46;0;3;46;0,00;0,00;Austria;Western Europe;"Austrian Society of Agricultural Economics";"2006-2016, 2018";"Agronomy and Crop Science (Q4); Economics and Econometrics (Q4); Forestry (Q4)"
621;21100781880;"Concurrences";journal;"21160090, 17739578";0,102;Q4;2;0;1755;0;10;1336;0,01;0,00;France;Western Europe;"Institute of Competition Law";"2014-2018";"Economics and Econometrics (Q4); Law (Q4)"
622;20592;"Ekonomiska Samfundets Tidskrift";journal;"00133183";0,102;Q4;3;0;15;0;0;11;0,00;0,00;Finland;Western Europe;"Economic Society of Finland";"2002-2015, 2017";"Economics and Econometrics (Q4)"
623;21100415050;"Journal of International Business and Economics (discontinued)";journal;"23789174, 15448037";0,102;Q4;2;0;37;0;1;37;0,00;0,00;Russian Federation;Eastern Europe;"International Academy of Business and Economics";"2015-2016";"Business, Management and Accounting (miscellaneous) (Q4); Economics and Econometrics (Q4)"
624;21100236616;"Nurture";journal;"19941633, 19941625";0,102;Q4;1;5;10;115;0;10;0,00;23,00;Pakistan;Asiatic Region;"Pakistan Home Economics Association";"2012-2017, 2019";"Economics and Econometrics (Q4); Education (Q4); Health (social science) (Q4); Nutrition and Dietetics (Q4)"
625;19300157031;"Economia Chilena";journal;"07173830";0,101;Q4;5;11;41;264;3;34;0,17;24,00;Chile;Latin America;"Banco Central Chile";"2008-2019";"Economics and Econometrics (Q4); Finance (Q4)"
626;24850;"Economic Outlook";journal;"14680319, 0140489X";0,101;Q4;8;39;133;56;2;128;0,01;1,44;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1977-2020";"Economics and Econometrics (Q4)"
627;145490;"Fuels and Lubes International";journal;"01179470";0,101;Q4;2;0;133;0;3;114;0,04;0,00;Philippines ;Asiatic Region;"";"2002-2012, 2014-2018";"Economics and Econometrics (Q4); Fuel Technology (Q4); Renewable Energy, Sustainability and the Environment (Q4)"
628;19600156849;"Graziadio Business Report";journal;"19391633";0,101;Q4;3;0;40;0;5;31;0,21;0,00;United States;Northern America;"Pepperdine University";"2009-2017";"Business and International Management (Q4); Economics and Econometrics (Q4)"
629;24915;"Economist";journal;"00130613";0,100;Q4;9;0;10524;0;2;8919;0,00;0,00;United Kingdom;Western Europe;"Economist Newspaper Ltd";"1973, 1975-1979, 1988, 1992, 1997-1998, 2003-2018";"Business, Management and Accounting (miscellaneous) (Q4); Economics and Econometrics (Q4)"
630;19276;"Fortune";journal;"00158259";0,100;Q4;15;0;126;0;0;67;0,00;0,00;United States;Northern America;"Time Warner Publishing";"1973-1974, 1976-2018";"Business and International Management (Q4); Business, Management and Accounting (miscellaneous) (Q4); Economics and Econometrics (Q4)"
631;28141;"Journal of Taxation";journal;"00224863";0,100;Q4;7;0;152;0;1;152;0,01;0,00;United States;Northern America;"Ria Thomson";"1998-2018";"Accounting (Q4); Economics and Econometrics (Q4); Finance (Q4)"
632;38885;"Real Estate Taxation";journal;"00935107";0,100;Q4;2;0;51;0;0;45;0,00;0,00;United States;Northern America;"Ria Thomson";"1996-2017";"Accounting (Q4); Economics and Econometrics (Q4); Finance (Q4)"
633;21100937582;"Economia y Politica";journal;"07194714, 07194803";;-;0;4;0;194;0;0;0,00;48,50;Chile;Latin America;"Universidad Adolfo Ibanez";"2019";"Cultural Studies; Economics and Econometrics; Political Science and International Relations; Sociology and Political Science"
634;21100923619;"Economic Research Guardian";journal;"22478531";;-;0;6;0;265;0;0;0,00;44,17;Romania;Eastern Europe;"Weissberg SRL";"2019";"Economics and Econometrics; Economics, Econometrics and Finance (miscellaneous); Geography, Planning and Development; Sociology and Political Science"
635;21100930159;"Ekonomia i Srodowisko";journal;"08678898, 23006420";;-;1;30;0;905;0;0;0,00;30,17;Poland;Eastern Europe;"Wydawnictwo Ekonomia i Srodowisko";"2019";"Ecology; Economics and Econometrics; Management, Monitoring, Policy and Law"
636;21100933830;"Estudios Frontizeros";journal;"23959134";;-;0;21;0;952;0;0;0,00;45,33;Romania;Eastern Europe;"Editura Academiei Romane";"2019-2020";"Anthropology; Demography; Economics and Econometrics; Geography, Planning and Development; History; Political Science and International Relations; Sociology and Political Science"
637;21100932724;"Historical Studies in Industrial Relations";journal;"20494459, 13621572";;-;0;7;0;911;0;0;0,00;130,14;United Kingdom;Western Europe;"Liverpool University Press";"2019";"Economics and Econometrics; History; Political Science and International Relations"
638;21100935076;"International and Multidisciplinary Journal of Social Sciences";journal;"20143680";;-;0;12;0;565;0;0;0,00;47,08;Spain;Western Europe;"Hipatia Press";"2019";"Economics and Econometrics; History; Philosophy; Social Sciences (miscellaneous)"
639;21100920052;"International Journal of Business and Emerging Markets";journal;"17536227, 17536219";;-;1;19;0;1510;0;0;0,00;79,47;United Kingdom;Western Europe;"Inderscience Enterprises Ltd.";"2019";"Business and International Management; Economics and Econometrics; Marketing; Strategy and Management"
640;21100936376;"Journal Global Policy and Governance";journal;"21947759, 21947740";;-;0;8;0;198;0;0;0,00;24,75;Germany;Western Europe;"";"2019";"Economics and Econometrics; Political Science and International Relations"
641;21100934093;"Journal of Econometric Methods";journal;"21566674";;-;0;3;0;75;0;0;0,00;25,00;Germany;Western Europe;"de Gruyter";"2019-2020";"Applied Mathematics; Economics and Econometrics; Statistics and Probability"
642;21100927900;"Journal of Food Distribution Research";journal;"26433354";;-;1;16;0;462;0;0;0,00;28,88;United States;Northern America;"Food Distribution Research Society";"2019-2020";"Agronomy and Crop Science; Economics and Econometrics; Food Science; Management Science and Operations Research; Marketing"
643;21100945715;"Journal of International Logistics and Trade";journal;"25087592, 17382122";;-;0;12;0;491;0;0;0,00;40,92;South Korea;Asiatic Region;"Jungseok Research Institute of International Logistics and Trade";"2019";"Economics and Econometrics; Management Information Systems; Management Science and Operations Research; Marketing; Transportation"
644;21100931377;"Journal of Ocean and Coastal Economics";journal;"23738456";;-;0;6;0;284;0;0;0,00;47,33;United States;Northern America;"Berkeley Electronic Press";"2019";"Economics and Econometrics"
645;21100905277;"Mathematics and Statistics";journal;"23322071, 23322144";;-;1;39;0;751;0;0;0,00;19,26;United States;Northern America;"Horizon Research Publishing";"2019-2020";"Economics and Econometrics; Statistics and Probability; Statistics, Probability and Uncertainty"
646;22339;"Nigerian Journal of Economic and Social Studies";journal;"00290092";;-;0;5;0;242;0;0;0,00;48,40;Nigeria;Africa;"Nigerian Economic Society";"1967, 1974-1977, 1982, 1984-1988, 1992, 2019";"Economics and Econometrics; Finance; Social Sciences (miscellaneous); Sociology and Political Science"
647;21100934094;"Nonprofit Policy Forum";journal;"21543348";;-;1;19;0;926;0;0;0,00;48,74;Germany;Western Europe;"de Gruyter";"2019-2020";"Economics and Econometrics; Public Administration; Sociology and Political Science"
648;21100935287;"Resources, Conservation and Recycling: X";journal;"2590289X";;-;0;12;0;722;0;0;0,00;60,17;Netherlands;Western Europe;"Elsevier BV";"2019-2020";"Economics and Econometrics; Waste Management and Disposal"
649;21100944283;"Review of Economic Analysis";journal;"19733909";;-;0;18;0;847;0;0;0,00;47,06;Canada;Northern America;"Rimini Centre for Economic Analysis";"2019";"Economics and Econometrics"
